data,tipo,num_casos,num_casos_media_movel_7_dias,num_casos_funcao,forecast,abaixo_95,acima_95
2020-03-10,acumulado,0,NULL,3332.24567,0,NULL,NULL
2020-03-11,acumulado,1,NULL,3379.23636,0,NULL,NULL
2020-03-12,acumulado,5,NULL,3426.88142,0,NULL,NULL
2020-03-13,acumulado,5,NULL,3475.18974,0,NULL,NULL
2020-03-14,acumulado,5,NULL,3524.17030,0,NULL,NULL
2020-03-15,acumulado,5,NULL,3573.83221,0,NULL,NULL
2020-03-16,acumulado,7,NULL,3624.18469,0,NULL,NULL
2020-03-17,acumulado,9,NULL,3675.23708,0,NULL,NULL
2020-03-18,acumulado,14,NULL,3726.99885,0,NULL,NULL
2020-03-19,acumulado,17,NULL,3779.47957,0,NULL,NULL
2020-03-20,acumulado,27,NULL,3832.68894,0,NULL,NULL
2020-03-22,acumulado,31,NULL,3886.63679,0,NULL,NULL
2020-03-23,acumulado,37,NULL,3941.33306,0,NULL,NULL
2020-03-24,acumulado,46,NULL,3996.78783,0,NULL,NULL
2020-03-25,acumulado,56,NULL,4053.01130,0,NULL,NULL
2020-03-26,acumulado,66,NULL,4110.01379,0,NULL,NULL
2020-03-27,acumulado,71,NULL,4167.80577,0,NULL,NULL
2020-03-28,acumulado,75,NULL,4226.39781,0,NULL,NULL
2020-03-29,acumulado,79,NULL,4285.80065,0,NULL,NULL
2020-03-30,acumulado,79,NULL,4346.02513,0,NULL,NULL
2020-03-31,acumulado,90,NULL,4407.08225,0,NULL,NULL
2020-04-01,acumulado,97,NULL,4468.98314,0,NULL,NULL
2020-04-02,acumulado,109,NULL,4531.73904,0,NULL,NULL
2020-04-03,acumulado,133,NULL,4595.36138,0,NULL,NULL
2020-04-04,acumulado,152,NULL,4659.86168,0,NULL,NULL
2020-04-06,acumulado,185,NULL,4725.25165,0,NULL,NULL
2020-04-07,acumulado,220,NULL,4791.54309,0,NULL,NULL
2020-04-08,acumulado,241,NULL,4858.74800,0,NULL,NULL
2020-04-09,acumulado,248,NULL,4926.87848,0,NULL,NULL
2020-04-11,acumulado,299,NULL,4995.94680,0,NULL,NULL
2020-04-13,acumulado,338,NULL,5065.96538,0,NULL,NULL
2020-04-14,acumulado,347,NULL,5136.94679,0,NULL,NULL
2020-04-15,acumulado,358,NULL,5208.90375,0,NULL,NULL
2020-04-16,acumulado,385,NULL,5281.84912,0,NULL,NULL
2020-04-17,acumulado,391,NULL,5355.79593,0,NULL,NULL
2020-04-18,acumulado,401,NULL,5430.75737,0,NULL,NULL
2020-04-20,acumulado,426,NULL,5506.74677,0,NULL,NULL
2020-04-21,acumulado,435,NULL,5583.77763,0,NULL,NULL
2020-04-22,acumulado,450,NULL,5661.86362,0,NULL,NULL
2020-04-23,acumulado,476,NULL,5741.01856,0,NULL,NULL
2020-04-24,acumulado,489,NULL,5821.25642,0,NULL,NULL
2020-04-25,acumulado,503,NULL,5902.59136,0,NULL,NULL
2020-04-26,acumulado,509,NULL,5985.03769,0,NULL,NULL
2020-04-27,acumulado,535,NULL,6068.60991,0,NULL,NULL
2020-04-28,acumulado,559,NULL,6153.32264,0,NULL,NULL
2020-04-29,acumulado,564,NULL,6239.19073,0,NULL,NULL
2020-04-30,acumulado,604,NULL,6326.22917,0,NULL,NULL
2020-05-01,acumulado,614,NULL,6414.45312,0,NULL,NULL
2020-05-03,acumulado,623,NULL,6503.87792,0,NULL,NULL
2020-05-04,acumulado,651,NULL,6594.51909,0,NULL,NULL
2020-05-05,acumulado,658,NULL,6686.39233,0,NULL,NULL
2020-05-06,acumulado,673,NULL,6779.51351,0,NULL,NULL
2020-05-07,acumulado,706,NULL,6873.89868,0,NULL,NULL
2020-05-08,acumulado,723,NULL,6969.56408,0,NULL,NULL
2020-05-09,acumulado,731,NULL,7066.52612,0,NULL,NULL
2020-05-11,acumulado,741,NULL,7164.80142,0,NULL,NULL
2020-05-12,acumulado,759,NULL,7264.40675,0,NULL,NULL
2020-05-13,acumulado,774,NULL,7365.35908,0,NULL,NULL
2020-05-14,acumulado,805,NULL,7467.67559,0,NULL,NULL
2020-05-15,acumulado,829,NULL,7571.37362,0,NULL,NULL
2020-05-16,acumulado,841,NULL,7676.47070,0,NULL,NULL
2020-05-18,acumulado,854,NULL,7782.98459,0,NULL,NULL
2020-05-19,acumulado,879,NULL,7890.93319,0,NULL,NULL
2020-05-20,acumulado,902,NULL,8000.33463,0,NULL,NULL
2020-05-21,acumulado,913,NULL,8111.20722,0,NULL,NULL
2020-05-22,acumulado,921,NULL,8223.56948,0,NULL,NULL
2020-05-23,acumulado,936,NULL,8337.44011,0,NULL,NULL
2020-05-25,acumulado,961,NULL,8452.83802,0,NULL,NULL
2020-05-26,acumulado,975,NULL,8569.78231,0,NULL,NULL
2020-05-27,acumulado,995,NULL,8688.29230,0,NULL,NULL
2020-05-28,acumulado,1089,NULL,8808.38749,0,NULL,NULL
2020-05-29,acumulado,1100,NULL,8930.08760,0,NULL,NULL
2020-05-30,acumulado,1109,NULL,9053.41253,0,NULL,NULL
2020-06-01,acumulado,1129,NULL,9178.38241,0,NULL,NULL
2020-06-02,acumulado,1158,NULL,9305.01756,0,NULL,NULL
2020-06-03,acumulado,1191,NULL,9433.33851,0,NULL,NULL
2020-06-04,acumulado,1212,NULL,9563.36601,0,NULL,NULL
2020-06-05,acumulado,1237,NULL,9695.12099,0,NULL,NULL
2020-06-06,acumulado,1290,NULL,9828.62461,0,NULL,NULL
2020-06-08,acumulado,1352,NULL,9963.89824,0,NULL,NULL
2020-06-09,acumulado,1399,NULL,10100.96345,0,NULL,NULL
2020-06-10,acumulado,1619,NULL,10239.84203,0,NULL,NULL
2020-06-11,acumulado,1665,NULL,10380.55596,0,NULL,NULL
2020-06-12,acumulado,1718,NULL,10523.12745,0,NULL,NULL
2020-06-13,acumulado,1777,NULL,10667.57893,0,NULL,NULL
2020-06-15,acumulado,1865,NULL,10813.93302,0,NULL,NULL
2020-06-16,acumulado,2375,NULL,10962.21258,0,NULL,NULL
2020-06-17,acumulado,2489,NULL,11112.44065,0,NULL,NULL
2020-06-18,acumulado,2543,NULL,11264.64050,0,NULL,NULL
2020-06-19,acumulado,2663,NULL,11418.83562,0,NULL,NULL
2020-06-20,acumulado,2834,NULL,11575.04971,0,NULL,NULL
2020-06-21,acumulado,2885,NULL,11733.30668,0,NULL,NULL
2020-06-22,acumulado,3032,NULL,11893.63065,0,NULL,NULL
2020-06-23,acumulado,3298,NULL,12056.04597,0,NULL,NULL
2020-06-24,acumulado,3773,NULL,12220.57717,0,NULL,NULL
2020-06-25,acumulado,3948,NULL,12387.24904,0,NULL,NULL
2020-06-26,acumulado,4101,NULL,12556.08654,0,NULL,NULL
2020-06-27,acumulado,4199,NULL,12727.11486,0,NULL,NULL
2020-06-28,acumulado,4285,NULL,12900.35941,0,NULL,NULL
2020-06-29,acumulado,4774,NULL,13075.84581,0,NULL,NULL
2020-06-30,acumulado,5178,NULL,13253.59987,0,NULL,NULL
