data,nome_metrica,valor,abaixo_95,acima_95,tipo
2020-03-18,"Rt (Thompson et al., 2019)",2.727,1.284,4.590,2
2020-03-19,"Rt (Thompson et al., 2019)",2.840,1.503,4.498,2
2020-03-20,"Rt (Thompson et al., 2019)",4.329,2.760,6.183,2
2020-03-22,"Rt (Thompson et al., 2019)",4.474,3.022,6.376,2
2020-03-23,"Rt (Thompson et al., 2019)",4.352,2.962,5.947,2
2020-03-24,"Rt (Thompson et al., 2019)",4.427,3.232,5.875,2
2020-03-25,"Rt (Thompson et al., 2019)",3.785,2.748,5.045,2
2020-03-26,"Rt (Thompson et al., 2019)",3.213,2.419,4.091,2
2020-03-27,"Rt (Thompson et al., 2019)",2.174,1.607,2.872,2
2020-03-28,"Rt (Thompson et al., 2019)",1.754,1.271,2.307,2
2020-03-29,"Rt (Thompson et al., 2019)",1.369,0.983,1.811,2
2020-03-30,"Rt (Thompson et al., 2019)",0.922,0.645,1.267,2
2020-03-31,"Rt (Thompson et al., 2019)",0.851,0.589,1.145,2
2020-04-01,"Rt (Thompson et al., 2019)",0.736,0.496,1.020,2
2020-04-02,"Rt (Thompson et al., 2019)",0.884,0.635,1.190,2
2020-04-03,"Rt (Thompson et al., 2019)",1.392,1.045,1.758,2
2020-04-04,"Rt (Thompson et al., 2019)",1.868,1.486,2.286,2
2020-04-06,"Rt (Thompson et al., 2019)",2.925,2.391,3.503,2
2020-04-07,"Rt (Thompson et al., 2019)",3.697,3.113,4.346,2
2020-04-08,"Rt (Thompson et al., 2019)",3.762,3.204,4.418,2
2020-04-09,"Rt (Thompson et al., 2019)",2.962,2.505,3.434,2
2020-04-11,"Rt (Thompson et al., 2019)",2.700,2.293,3.134,2
2020-04-13,"Rt (Thompson et al., 2019)",2.284,1.960,2.595,2
2020-04-14,"Rt (Thompson et al., 2019)",1.589,1.357,1.845,2
2020-04-15,"Rt (Thompson et al., 2019)",1.140,0.963,1.328,2
2020-04-16,"Rt (Thompson et al., 2019)",1.064,0.904,1.236,2
2020-04-17,"Rt (Thompson et al., 2019)",0.959,0.816,1.115,2
2020-04-18,"Rt (Thompson et al., 2019)",0.639,0.518,0.758,2
2020-04-20,"Rt (Thompson et al., 2019)",0.545,0.436,0.675,2
