data,tipo,num_casos,num_casos_funcao,forecast,abaixo_95,acima_95
2020-03-10,acumulado,0,32.60398,0,NULL,NULL
2020-03-11,acumulado,1,34.27508,0,NULL,NULL
2020-03-12,acumulado,5,36.03183,0,NULL,NULL
2020-03-13,acumulado,5,37.87862,0,NULL,NULL
2020-03-14,acumulado,5,39.82006,0,NULL,NULL
2020-03-15,acumulado,5,41.86102,0,NULL,NULL
2020-03-16,acumulado,7,44.00658,0,NULL,NULL
2020-03-17,acumulado,9,46.26211,0,NULL,NULL
2020-03-18,acumulado,14,48.63324,0,NULL,NULL
2020-03-19,acumulado,17,51.12591,0,NULL,NULL
2020-03-20,acumulado,27,53.74633,0,NULL,NULL
2020-03-22,acumulado,31,56.50107,0,NULL,NULL
2020-03-23,acumulado,37,59.39700,0,NULL,NULL
2020-03-24,acumulado,46,62.44135,0,NULL,NULL
2020-03-25,acumulado,56,65.64175,0,NULL,NULL
2020-03-26,acumulado,66,69.00617,0,NULL,NULL
2020-03-27,acumulado,71,72.54304,0,NULL,NULL
2020-03-28,acumulado,75,76.26119,0,NULL,NULL
2020-03-29,acumulado,79,80.16991,0,NULL,NULL
2020-03-30,acumulado,79,84.27897,0,NULL,NULL
2020-03-31,acumulado,90,88.59863,0,NULL,NULL
2020-04-01,acumulado,97,93.13970,0,NULL,NULL
2020-04-02,acumulado,109,97.91352,0,NULL,NULL
2020-04-03,acumulado,133,102.93201,0,NULL,NULL
2020-04-04,acumulado,152,108.20773,0,NULL,NULL
2020-04-06,acumulado,185,113.75385,0,NULL,NULL
2020-04-07,acumulado,220,119.58423,0,NULL,NULL
2020-04-08,acumulado,241,125.71345,0,NULL,NULL
2020-04-09,acumulado,248,132.15681,0,NULL,NULL
2020-04-11,acumulado,299,138.93043,0,NULL,NULL
2020-04-13,acumulado,338,146.05122,0,NULL,NULL
2020-04-14,acumulado,347,153.53698,0,NULL,NULL
2020-04-15,acumulado,358,161.40642,0,NULL,NULL
2020-04-16,acumulado,385,169.67921,0,NULL,NULL
2020-04-17,acumulado,391,178.37601,0,NULL,NULL
2020-04-18,acumulado,401,187.51856,0,NULL,NULL
2020-04-20,acumulado,426,197.12971,0,NULL,NULL
2020-04-21,acumulado,435,207.23347,0,NULL,NULL
2020-04-22,acumulado,450,217.85509,0,NULL,NULL
2020-04-23,acumulado,476,229.02111,0,NULL,NULL
