data,tipo,num_casos,num_casos_media_movel_7_dias,num_casos_funcao,forecast,abaixo_95,acima_95
2020-03-19,acumulado,0,NULL,177.10700,0,NULL,NULL
2020-03-20,acumulado,1,NULL,180.00847,0,NULL,NULL
2020-03-21,acumulado,1,NULL,182.95723,0,NULL,NULL
2020-03-22,acumulado,1,NULL,185.95406,0,NULL,NULL
2020-03-23,acumulado,2,NULL,188.99971,0,NULL,NULL
2020-03-24,acumulado,2,NULL,192.09498,0,NULL,NULL
2020-03-25,acumulado,2,NULL,195.24068,0,NULL,NULL
2020-03-26,acumulado,2,NULL,198.43760,0,NULL,NULL
2020-03-27,acumulado,2,NULL,201.68658,0,NULL,NULL
2020-03-28,acumulado,2,NULL,204.98846,0,NULL,NULL
2020-03-29,acumulado,2,NULL,208.34408,0,NULL,NULL
2020-03-30,acumulado,2,NULL,211.75432,0,NULL,NULL
2020-03-31,acumulado,3,NULL,215.22004,0,NULL,NULL
2020-04-01,acumulado,3,NULL,218.74214,0,NULL,NULL
2020-04-02,acumulado,4,NULL,222.32153,0,NULL,NULL
2020-04-03,acumulado,5,NULL,225.95913,0,NULL,NULL
2020-04-04,acumulado,5,NULL,229.65587,0,NULL,NULL
2020-04-05,acumulado,5,NULL,233.41270,0,NULL,NULL
2020-04-06,acumulado,6,NULL,237.23059,0,NULL,NULL
2020-04-07,acumulado,6,NULL,241.11050,0,NULL,NULL
2020-04-08,acumulado,7,NULL,245.05345,0,NULL,NULL
2020-04-09,acumulado,9,NULL,249.06043,0,NULL,NULL
2020-04-10,acumulado,9,NULL,253.13248,0,NULL,NULL
2020-04-11,acumulado,9,NULL,257.27063,0,NULL,NULL
2020-04-12,acumulado,9,NULL,261.47595,0,NULL,NULL
2020-04-13,acumulado,9,NULL,265.74950,0,NULL,NULL
2020-04-14,acumulado,9,NULL,270.09237,0,NULL,NULL
2020-04-15,acumulado,9,NULL,274.50568,0,NULL,NULL
2020-04-16,acumulado,10,NULL,278.99055,0,NULL,NULL
2020-04-17,acumulado,10,NULL,283.54812,0,NULL,NULL
2020-04-18,acumulado,12,NULL,288.17955,0,NULL,NULL
2020-04-19,acumulado,13,NULL,292.88602,0,NULL,NULL
2020-04-20,acumulado,14,NULL,297.66872,0,NULL,NULL
2020-04-21,acumulado,14,NULL,302.52887,0,NULL,NULL
2020-04-22,acumulado,14,NULL,307.46770,0,NULL,NULL
2020-04-23,acumulado,15,NULL,312.48647,0,NULL,NULL
2020-04-24,acumulado,17,NULL,317.58643,0,NULL,NULL
2020-04-25,acumulado,18,NULL,322.76889,0,NULL,NULL
2020-04-26,acumulado,18,NULL,328.03515,0,NULL,NULL
2020-04-27,acumulado,19,NULL,333.38654,0,NULL,NULL
2020-04-28,acumulado,20,NULL,338.82442,0,NULL,NULL
2020-04-29,acumulado,20,NULL,344.35015,0,NULL,NULL
2020-04-30,acumulado,24,NULL,349.96513,0,NULL,NULL
2020-05-01,acumulado,24,NULL,355.67076,0,NULL,NULL
2020-05-02,acumulado,24,NULL,361.46849,0,NULL,NULL
2020-05-03,acumulado,24,NULL,367.35976,0,NULL,NULL
2020-05-04,acumulado,24,NULL,373.34606,0,NULL,NULL
2020-05-05,acumulado,24,NULL,379.42889,0,NULL,NULL
2020-05-06,acumulado,28,NULL,385.60977,0,NULL,NULL
2020-05-07,acumulado,33,NULL,391.89024,0,NULL,NULL
2020-05-08,acumulado,35,NULL,398.27187,0,NULL,NULL
2020-05-09,acumulado,39,NULL,404.75626,0,NULL,NULL
2020-05-10,acumulado,39,NULL,411.34503,0,NULL,NULL
2020-05-11,acumulado,41,NULL,418.03981,0,NULL,NULL
2020-05-12,acumulado,52,NULL,424.84226,0,NULL,NULL
2020-05-13,acumulado,57,NULL,431.75409,0,NULL,NULL
2020-05-14,acumulado,58,NULL,438.77700,0,NULL,NULL
2020-05-15,acumulado,59,NULL,445.91273,0,NULL,NULL
