data,tipo,num_casos,num_casos_media_movel_7_dias,num_casos_funcao,forecast,abaixo_95,acima_95
2020-03-19,acumulado,0,NULL,0.36281,0,NULL,NULL
2020-03-20,acumulado,1,NULL,0.38778,0,NULL,NULL
2020-03-21,acumulado,1,NULL,0.41447,0,NULL,NULL
2020-03-22,acumulado,1,NULL,0.44299,0,NULL,NULL
2020-03-23,acumulado,2,NULL,0.47348,0,NULL,NULL
2020-03-24,acumulado,2,NULL,0.50607,0,NULL,NULL
2020-03-25,acumulado,2,NULL,0.54090,0,NULL,NULL
2020-03-26,acumulado,2,NULL,0.57812,0,NULL,NULL
2020-03-27,acumulado,2,NULL,0.61791,0,NULL,NULL
2020-03-28,acumulado,2,NULL,0.66043,0,NULL,NULL
2020-03-29,acumulado,2,NULL,0.70588,0,NULL,NULL
2020-03-30,acumulado,2,NULL,0.75446,0,NULL,NULL
2020-03-31,acumulado,3,NULL,0.80638,0,NULL,NULL
2020-04-01,acumulado,3,NULL,0.86187,0,NULL,NULL
2020-04-02,acumulado,4,NULL,0.92117,0,NULL,NULL
2020-04-03,acumulado,5,NULL,0.98456,0,NULL,NULL
2020-04-04,acumulado,5,NULL,1.05231,0,NULL,NULL
2020-04-05,acumulado,5,NULL,1.12471,0,NULL,NULL
2020-04-06,acumulado,6,NULL,1.20210,0,NULL,NULL
2020-04-07,acumulado,6,NULL,1.28481,0,NULL,NULL
2020-04-08,acumulado,7,NULL,1.37321,0,NULL,NULL
2020-04-09,acumulado,9,NULL,1.46769,0,NULL,NULL
2020-04-10,acumulado,9,NULL,1.56866,0,NULL,NULL
2020-04-11,acumulado,9,NULL,1.67658,0,NULL,NULL
2020-04-12,acumulado,9,NULL,1.79192,0,NULL,NULL
2020-04-13,acumulado,9,NULL,1.91518,0,NULL,NULL
2020-04-14,acumulado,9,NULL,2.04693,0,NULL,NULL
2020-04-15,acumulado,9,NULL,2.18772,0,NULL,NULL
2020-04-16,acumulado,10,NULL,2.33820,0,NULL,NULL
2020-04-17,acumulado,10,NULL,2.49901,0,NULL,NULL
2020-04-18,acumulado,12,NULL,2.67088,0,NULL,NULL
2020-04-19,acumulado,13,NULL,2.85455,0,NULL,NULL
2020-04-20,acumulado,14,NULL,3.05084,0,NULL,NULL
2020-04-21,acumulado,14,NULL,3.26062,0,NULL,NULL
2020-04-22,acumulado,14,NULL,3.48481,0,NULL,NULL
2020-04-23,acumulado,15,NULL,3.72438,0,NULL,NULL
2020-04-24,acumulado,17,NULL,3.98041,0,NULL,NULL
2020-04-25,acumulado,18,NULL,4.25402,0,NULL,NULL
2020-04-26,acumulado,18,NULL,4.54640,0,NULL,NULL
2020-04-27,acumulado,19,NULL,4.85885,0,NULL,NULL
2020-04-28,acumulado,20,NULL,5.19274,0,NULL,NULL
2020-04-29,acumulado,20,NULL,5.54952,0,NULL,NULL
2020-04-30,acumulado,24,NULL,5.93078,0,NULL,NULL
2020-05-01,acumulado,24,NULL,6.33817,0,NULL,NULL
2020-05-02,acumulado,24,NULL,6.77348,0,NULL,NULL
2020-05-03,acumulado,24,NULL,7.23862,0,NULL,NULL
2020-05-04,acumulado,24,NULL,7.73562,0,NULL,NULL
2020-05-05,acumulado,24,NULL,8.26665,0,NULL,NULL
2020-05-06,acumulado,28,NULL,8.83403,0,NULL,NULL
2020-05-07,acumulado,33,NULL,9.44023,0,NULL,NULL
2020-05-08,acumulado,35,NULL,10.08790,0,NULL,NULL
2020-05-09,acumulado,39,NULL,10.77984,0,NULL,NULL
2020-05-10,acumulado,39,NULL,11.51906,0,NULL,NULL
2020-05-11,acumulado,41,NULL,12.30876,0,NULL,NULL
2020-05-12,acumulado,52,NULL,13.15238,0,NULL,NULL
2020-05-13,acumulado,57,NULL,14.05355,0,NULL,NULL
2020-05-14,acumulado,58,NULL,15.01616,0,NULL,NULL
2020-05-15,acumulado,59,NULL,16.04435,0,NULL,NULL
2020-05-16,acumulado,65,NULL,17.14255,0,NULL,NULL
2020-05-17,acumulado,65,NULL,18.31548,0,NULL,NULL
2020-05-18,acumulado,67,NULL,19.56813,0,NULL,NULL
2020-05-19,acumulado,70,NULL,20.90588,0,NULL,NULL
2020-05-20,acumulado,72,NULL,22.33440,0,NULL,NULL
2020-05-21,acumulado,72,NULL,23.85977,0,NULL,NULL
2020-05-22,acumulado,77,NULL,25.48844,0,NULL,NULL
2020-05-23,acumulado,84,NULL,27.22729,0,NULL,NULL
2020-05-24,acumulado,84,NULL,29.08363,0,NULL,NULL
2020-05-25,acumulado,84,NULL,31.06524,0,NULL,NULL
2020-05-26,acumulado,93,NULL,33.18038,0,NULL,NULL
2020-05-27,acumulado,94,NULL,35.43786,0,NULL,NULL
2020-05-28,acumulado,109,NULL,37.84700,0,NULL,NULL
2020-05-29,acumulado,115,NULL,40.41774,0,NULL,NULL
2020-05-30,acumulado,115,NULL,43.16059,0,NULL,NULL
2020-05-31,acumulado,127,NULL,46.08675,0,NULL,NULL
2020-06-01,acumulado,129,NULL,49.20805,0,NULL,NULL
2020-06-02,acumulado,141,NULL,52.53707,0,NULL,NULL
2020-06-03,acumulado,147,NULL,56.08710,0,NULL,NULL
2020-06-04,acumulado,151,NULL,59.87224,0,NULL,NULL
2020-06-05,acumulado,158,NULL,63.90739,0,NULL,NULL
2020-06-06,acumulado,162,NULL,68.20831,0,NULL,NULL
2020-06-07,acumulado,162,NULL,72.79165,0,NULL,NULL
2020-06-08,acumulado,164,NULL,77.67498,0,NULL,NULL
2020-06-09,acumulado,169,NULL,82.87682,0,NULL,NULL
2020-06-10,acumulado,173,NULL,88.41670,0,NULL,NULL
2020-06-11,acumulado,177,NULL,94.31516,0,NULL,NULL
2020-06-12,acumulado,179,NULL,100.59380,0,NULL,NULL
2020-06-13,acumulado,181,NULL,107.27530,0,NULL,NULL
2020-06-14,acumulado,187,NULL,114.38343,0,NULL,NULL
2020-06-15,acumulado,187,NULL,121.94310,0,NULL,NULL
2020-06-16,acumulado,197,NULL,129.98035,0,NULL,NULL
2020-06-17,acumulado,199,NULL,138.52236,0,NULL,NULL
2020-06-18,acumulado,207,NULL,147.59745,0,NULL,NULL
2020-06-19,acumulado,221,NULL,157.23508,0,NULL,NULL
2020-06-20,acumulado,229,NULL,167.46584,0,NULL,NULL
2020-06-21,acumulado,229,NULL,178.32139,0,NULL,NULL
2020-06-22,acumulado,237,NULL,189.83444,0,NULL,NULL
2020-06-23,acumulado,248,NULL,202.03870,0,NULL,NULL
2020-06-24,acumulado,249,NULL,214.96880,0,NULL,NULL
2020-06-25,acumulado,259,NULL,228.66020,0,NULL,NULL
2020-06-26,acumulado,272,NULL,243.14908,0,NULL,NULL
2020-06-27,acumulado,282,NULL,258.47223,0,NULL,NULL
2020-06-28,acumulado,287,NULL,274.66689,0,NULL,NULL
2020-06-29,acumulado,293,NULL,291.77055,0,NULL,NULL
2020-06-30,acumulado,323,NULL,309.82081,0,NULL,NULL
2020-07-01,acumulado,330,NULL,328.85509,0,NULL,NULL
2020-07-02,acumulado,340,NULL,348.91041,0,NULL,NULL
2020-07-03,acumulado,346,NULL,370.02312,0,NULL,NULL
2020-07-04,acumulado,373,NULL,392.22854,0,NULL,NULL
2020-07-05,acumulado,391,NULL,415.56068,0,NULL,NULL
2020-07-06,acumulado,402,NULL,440.05183,0,NULL,NULL
2020-07-07,acumulado,419,NULL,465.73218,0,NULL,NULL
2020-07-08,acumulado,440,NULL,492.62939,0,NULL,NULL
2020-07-09,acumulado,454,NULL,520.76817,0,NULL,NULL
2020-07-10,acumulado,483,NULL,550.16983,0,NULL,NULL
2020-07-11,acumulado,495,NULL,580.85175,0,NULL,NULL
2020-07-12,acumulado,510,NULL,612.82697,0,NULL,NULL
2020-07-13,acumulado,539,NULL,646.10368,0,NULL,NULL
2020-07-14,acumulado,563,NULL,680.68475,0,NULL,NULL
2020-07-15,acumulado,611,NULL,716.56729,0,NULL,NULL
2020-07-16,acumulado,649,NULL,753.74220,0,NULL,NULL
2020-07-17,acumulado,719,NULL,792.19378,0,NULL,NULL
2020-07-18,acumulado,751,NULL,831.89942,0,NULL,NULL
2020-07-19,acumulado,765,NULL,872.82925,0,NULL,NULL
2020-07-20,acumulado,779,NULL,914.94597,0,NULL,NULL
